force_x_N,force_y_N,force_z_N,vibration_x_g,vibration_y_g,vibration_z_g,ae_rms_V
-0.22,-0.363,1.925,-0.048,-0.073,-0.051,-0.005
-0.228,-0.476,1.841,-0.06,-0.083,-0.068,-0.004
-0.237,-0.524,1.727,-0.035,-0.044,-0.027,-0.004
-0.21,-0.515,1.654,-0.04,-0.035,-0.024,-0.004
-0.173,-0.526,1.591,-0.043,-0.064,-0.058,-0.004
-0.123,-0.501,1.465,-0.006,-0.037,-0.034,-0.005
-0.06,-0.446,1.367,-0.048,-0.073,-0.058,-0.004
0.041,-0.414,1.259,-0.03,-0.051,-0.041,-0.004
0.13,-0.379,1.176,-0.023,-0.043,-0.031,-0.004
0.262,-0.295,1.072,-0.033,-0.04,-0.031,-0.004
0.355,-0.236,0.976,-0.043,-0.054,-0.054,-0.004
0.467,-0.197,0.9,-0.04,-0.05,-0.053,-0.004
0.511,-0.167,0.821,-0.012,-0.031,-0.031,-0.005
0.581,-0.147,0.746,-0.057,-0.074,-0.07,-0.004
0.651,-0.138,0.693,-0.026,-0.05,-0.038,-0.004
0.715,-0.138,0.63,-0.001,-0.024,-0.021,-0.004
0.799,-0.103,0.595,-0.05,-0.062,-0.06,-0.004
0.898,-0.05,0.589,-0.048,-0.046,-0.043,-0.004
0.981,-0.039,0.565,-0.013,-0.022,-0.03,-0.005
1.02,-0.021,0.552,-0.081,-0.087,-0.1,-0.005
1.033,-0.016,0.511,-0.007,-0.012,-0.009,-0.004
1.089,0.043,0.556,-0.031,-0.039,-0.043,-0.005
1.115,0.122,0.555,-0.022,-0.032,-0.037,-0.004
1.084,0.136,0.481,-0.023,-0.02,-0.017,-0.005
1.081,0.148,0.48,-0.041,-0.046,-0.056,-0.005
1.008,0.126,0.423,-0.033,-0.032,-0.052,-0.004
0.922,0.092,0.372,-0.068,-0.068,-0.073,-0.004
0.809,0.113,0.312,-0.032,-0.026,-0.035,-0.004
0.725,0.124,0.247,-0.016,-0.027,-0.023,-0.004
0.629,0.119,0.181,-0.05,-0.058,-0.062,-0.004
0.535,0.109,0.126,-0.028,-0.027,-0.035,-0.005
0.465,0.102,0.054,-0.078,-0.057,-0.062,-0.004
0.416,0.073,-0.016,-0.043,-0.049,-0.047,-0.004
0.36,0.085,-0.072,-0.024,-0.025,-0.038,-0.004
0.317,0.135,-0.159,-0.069,-0.054,-0.062,-0.004
0.257,0.192,-0.204,-0.035,-0.021,-0.039,-0.004
0.156,0.185,-0.288,-0.052,-0.058,-0.067,-0.005
0.076,0.164,-0.362,-0.022,-0.021,-0.016,-0.004
-0.035,0.168,-0.402,-0.05,-0.051,-0.053,-0.005
-0.137,0.167,-0.437,-0.029,-0.029,-0.037,-0.004
-0.2,0.187,-0.455,-0.031,-0.025,-0.026,-0.005
-0.253,0.227,-0.487,-0.056,-0.038,-0.06,-0.004
-0.357,0.197,-0.51,0.002,0.01,-0.003,-0.004
-0.423,0.157,-0.539,-0.058,-0.053,-0.058,-0.005
