force_x_N,force_y_N,force_z_N,vibration_x_g,vibration_y_g,vibration_z_g,ae_rms_V
-0.063,2.327,1.272,0.019,-0.011,-0.017,-0.004
-0.141,2.199,1.32,-0.02,-0.031,-0.034,-0.004
-0.2,2.097,1.336,0.054,0.053,0.045,-0.005
-0.244,2.007,1.386,0.041,0.036,0.027,-0.005
-0.321,1.925,1.406,-0.057,-0.079,-0.078,-0.005
-0.382,1.895,1.441,0.076,0.048,0.053,-0.004
-0.413,1.916,1.489,0.089,0.057,0.061,-0.005
-0.47,1.924,1.539,-0.085,-0.101,-0.111,-0.004
-0.531,1.94,1.585,0.113,0.098,0.092,-0.005
-0.614,1.959,1.631,0.035,0.021,0.023,-0.005
-0.673,1.977,1.688,-0.111,-0.119,-0.128,-0.004
-0.729,1.991,1.765,0.1,0.084,0.074,-0.005
-0.759,2.058,1.833,0.014,0.001,0.004,-0.005
-0.779,2.13,1.891,-0.101,-0.11,-0.105,-0.004
-0.812,2.147,1.95,0.086,0.058,0.06,-0.004
-0.867,2.14,1.979,0.002,-0.029,-0.03,-0.004
-0.877,2.14,2.012,-0.04,-0.049,-0.048,-0.005
-0.877,2.162,2.04,0.009,0,-0.004,-0.005
-0.892,2.161,2.075,0.077,0.055,0.05,-0.004
-0.887,2.158,2.087,-0.014,-0.036,-0.034,-0.004
-0.845,2.112,2.119,-0.024,-0.036,-0.022,-0.004
-0.759,2.05,2.14,0.098,0.085,0.096,-0.005
-0.655,1.945,2.147,-0.047,-0.053,-0.056,-0.005
-0.547,1.834,2.136,-0.015,-0.018,-0.028,-0.004
-0.442,1.728,2.125,0.09,0.09,0.071,-0.005
-0.361,1.667,2.135,-0.056,-0.061,-0.076,-0.005
-0.266,1.583,2.105,-0.024,-0.035,-0.043,-0.004
-0.176,1.451,2.094,0.084,0.07,0.066,-0.004
-0.095,1.323,2.065,-0.031,-0.047,-0.039,-0.005
0.02,1.225,2.06,-0.044,-0.054,-0.044,-0.005
0.082,1.152,2.012,0.044,0.048,0.04,-0.005
0.119,1.063,1.919,-0.05,-0.046,-0.067,-0.005
0.169,1.043,1.862,-0.051,-0.048,-0.068,-0.004
0.163,0.933,1.791,0.018,0.023,0.01,-0.004
0.189,0.862,1.744,0.056,0.05,0.047,-0.005
0.189,0.787,1.697,-0.071,-0.095,-0.089,-0.005
0.178,0.715,1.634,0.078,0.055,0.065,-0.005
0.139,0.594,1.576,0.015,0.022,0.014,-0.004
0.09,0.506,1.554,-0.091,-0.069,-0.093,-0.004
0.009,0.362,1.507,0.029,0.038,0.017,-0.005
-0.063,0.262,1.497,0.01,0.018,0.004,-0.005
-0.189,0.185,1.445,-0.053,-0.052,-0.057,-0.005
-0.282,0.139,1.438,-0.002,-0.017,-0.011,-0.005
-0.41,0.132,1.401,0.082,0.065,0.069,-0.005
-0.543,0.115,1.367,-0.03,-0.039,-0.045,-0.004
-0.664,0.109,1.349,0.003,-0.005,-0.006,-0.004
-0.776,0.09,1.339,0.067,0.064,0.061,-0.005
-0.888,0.124,1.343,-0.047,-0.032,-0.05,-0.004
-0.983,0.179,1.344,-0.01,0.005,-0.005,-0.005
-1.074,0.238,1.33,0.082,0.093,0.093,-0.005
-1.158,0.291,1.327,0.012,0.013,0.013,-0.005
-1.239,0.338,1.324,-0.039,-0.056,-0.042,-0.004
-1.294,0.342,1.339,0.169,0.152,0.161,-0.004
-1.309,0.319,1.373,0.034,0.02,0.026,-0.005
-1.321,0.325,1.398,-0.054,-0.051,-0.063,-0.004
-1.306,0.355,1.434,0.054,0.053,0.058,-0.005
-1.278,0.458,1.482,0.008,-0.014,-0.035,-0.005
-1.23,0.409,1.648,0.007,0.009,-0.048,-0.004
-1.09,0.203,1.852,0.019,0.06,0.012,-0.004
-0.783,0.004,2.04,-0.041,0.041,0.025,-0.005
-0.403,-0.14,2.133,-0.1,-0.102,-0.022,-0.005
-0.166,-0.069,2.164,0.077,-0.019,0.052,-0.005
-0.19,0.289,2.373,0.036,0.008,0.028,-0.004
-0.339,0.927,2.594,-0.078,-0.075,-0.099,-0.004
-0.699,1.137,2.609,0.019,0.008,-0.046,-0.004
-1.026,0.711,2.738,0.067,0.071,0.042,-0.004
-1.058,0.129,2.826,-0.1,-0.103,-0.1,-0.004
-0.784,-0.009,2.78,0.018,0.054,0.061,-0.004
-0.404,0.39,2.796,0.047,0.046,0.06,-0.004
-0.073,0.68,2.703,-0.018,-0.109,-0.1,-0.004
0.178,0.419,2.702,0.023,0.016,0.003,-0.004
0.227,0.023,2.827,0.047,0.038,-0.005,-0.004
0.145,0.078,2.941,-0.068,-0.046,-0.089,-0.004
-0.015,0.372,2.952,-0.086,-0.027,0.017,-0.004
-0.16,0.651,3.002,0.036,0.037,0.072,-0.004
-0.211,0.641,3.041,-0.013,-0.03,-0.01,-0.004
-0.14,0.619,3.009,-0.031,-0.025,-0.041,-0.004
0.015,0.745,2.986,0.068,0.019,-0.025,-0.004
0.09,1.043,2.956,0.048,-0.037,-0.033,-0.004
-0.071,1.394,3.025,-0.049,-0.086,-0.081,-0.004
-0.194,1.544,3.078,0.066,0.052,0.032,-0.004
-0.237,1.45,3.003,0.022,0.04,0.078,-0.004
-0.231,1.174,2.806,-0.124,-0.113,-0.108,-0.004
-0.137,1.178,2.824,0.144,0.116,0.086,-0.004
0.041,1.587,2.805,0.048,0.064,0.043,-0.004
0.261,1.988,2.627,-0.089,-0.079,-0.124,-0.004
0.509,1.826,2.485,0.113,0.109,0.1,-0.004
0.63,1.234,2.446,0.018,0.037,0.093,-0.004
0.618,1.122,2.313,-0.056,-0.09,-0.049,-0.004
0.454,1.671,2.109,0.162,0.103,0.14,-0.004
0.26,2.252,1.951,0.014,-0.025,-0.035,-0.004
0.181,2.131,1.878,0.088,0.013,-0.034,-0.004
0.253,1.576,1.851,0.059,0.031,-0.006,-0.004
0.391,1.526,1.743,0.043,0.064,0.046,-0.003
0.586,1.909,1.623,0.032,0.046,0.061,-0.004
0.694,2.206,1.65,-0.036,-0.04,0.006,-0.003
0.717,2.061,1.612,0.103,0.094,0.12,-0.003
0.619,1.603,1.538,0.053,0.034,0.015,-0.003
0.514,1.261,1.493,-0.033,-0.044,-0.067,-0.003
0.44,1.246,1.378,0.175,0.145,0.121,-0.003
0.425,1.418,1.337,0.062,0.051,0.045,-0.003
0.473,1.699,1.268,-0.09,-0.053,0.001,-0.003
0.576,1.785,0.962,0.193,0.184,0.218,-0.003
0.692,1.756,0.715,0.066,-0.019,0,-0.003
0.668,1.734,0.582,0.038,-0.028,0.006,-0.003
0.482,1.831,0.508,0.173,0.123,0.081,-0.003
0.31,2.114,0.419,0.022,-0.015,-0.057,-0.003
0.178,2.295,0.349,0.041,0.055,0.074,-0.003
0.154,2.082,0.354,0.061,0.093,0.097,-0.003
0.253,1.596,0.412,0.092,0.1,0.149,-0.003
0.401,1.462,0.329,0,0.013,0.057,-0.003
0.572,1.649,0.215,0.114,0.086,0.078,-0.003
0.595,1.746,0.219,0.161,0.114,0.122,-0.003
0.436,1.714,0.252,0.023,-0.033,-0.022,-0.003
0.227,1.582,0.189,0.122,0.103,0.103,-0.003
0.062,1.71,0.047,0.095,0.129,0.162,-0.003
0.08,1.91,-0.025,-0.067,-0.057,-0.018,-0.003
0.225,2.073,-0.072,-0.014,-0.069,-0.069,-0.003
0.404,2.315,-0.167,-0,-0.017,-0.03,-0.003
0.695,2.507,-0.232,-0.049,-0.075,-0.105,-0.003
0.979,2.612,-0.213,0.031,0.003,-0.043,-0.003
1.195,2.537,-0.098,-0.023,-0.02,-0.007,-0.003
1.263,2.291,0.053,0.018,0.041,0.086,-0.003
1.169,2.094,0.1,0.024,0.037,0.076,-0.003
1.072,2.273,0.084,0.037,0.051,0.097,-0.003
1.128,2.384,0.051,0.121,0.097,0.108,-0.003
1.197,2.296,0.123,0.05,0.023,-0.002,-0.003
1.269,2.232,0.169,0.034,0.01,0.003,-0.003
1.369,2.456,0.077,0.036,0.017,0.009,-0.003
1.425,2.882,0.114,0.036,0.03,0.059,-0.003
1.347,3.104,0.246,-0.115,-0.137,-0.085,-0.003
1.243,3.037,0.263,0.004,-0.024,-0.024,-0.003
1.194,2.903,0.237,0.053,0.056,0.048,-0.003
1.244,2.837,0.327,-0.018,-0.01,-0.022,-0.003
1.331,2.797,0.507,0.148,0.144,0.082,-0.003
1.416,2.798,0.668,0.045,0.062,0.051,-0.003
1.503,2.705,0.761,0.059,0.084,0.126,-0.003
1.534,2.513,0.794,0.037,0.029,0.066,-0.003
1.428,2.359,0.819,-0.022,-0.049,-0.008,-0.003
1.239,2.317,0.857,-0.015,-0.068,-0.042,-0.003
0.913,2.316,0.812,-0.019,-0.069,-0.086,-0.003
0.609,2.346,0.731,-0.009,-0.035,-0.041,-0.003
0.503,2.382,0.71,-0.01,-0.02,-0.042,-0.003
0.603,2.451,0.713,0.012,0.024,0.019,-0.003
